Unnamed: 0,daily_screen_time,app_sessions,social_media_usage,gaming_time,notifications,night_usage,age,work_study_hours,stress_level,apps_installed,Addiction Score
70,4,30,3,2,54,0,43,9,7,23,57.882000000000005
71,5,21,0,1,48,0,51,7,2,21,30.722999999999995
72,3,23,1,0,59,0,33,8,2,23,35.244
73,8,30,1,1,63,0,44,4,5,37,55.967999999999996
74,6,40,2,1,60,2,28,6,4,22,66.528
75,6,43,2,2,66,2,28,5,6,30,77.187
76,4,37,1,0,65,1,23,5,6,24,61.47899999999999
77,5,47,1,0,77,0,40,7,5,33,61.87500000000001
78,4,22,1,1,50,1,48,6,4,28,40.26
79,7,41,3,2,77,0,21,3,3,25,76.82399999999997
80,4,26,3,0,39,1,45,7,1,29,31.51499999999999
81,6,45,2,3,58,0,19,9,2,23,62.336999999999996
82,4,22,0,0,51,0,44,7,2,25,28.247999999999994
83,4,17,1,0,43,1,31,5,5,11,41.382
84,6,41,1,3,59,1,23,8,5,33,66.06599999999999
85,4,30,1,1,57,2,34,11,2,28,44.516999999999996
86,2,40,1,4,76,1,38,6,4,28,68.112
87,5,34,3,2,68,0,35,9,4,30,60.95099999999999
88,6,31,3,3,63,1,18,6,7,29,76.72499999999998
89,3,24,2,0,41,0,31,9,3,20,32.07599999999999
90,3,38,0,3,88,0,35,6,6,35,69.762
91,7,37,3,1,63,1,43,7,3,22,62.60100000000001
92,5,23,1,0,50,1,38,5,4,18,43.989
93,6,30,1,1,79,3,28,6,7,33,76.362
94,7,40,2,1,68,1,20,6,7,35,74.41499999999999
95,3,24,0,0,54,0,48,9,0,26,22.109999999999992
96,5,27,3,1,50,0,49,4,1,24,41.514
97,2,37,3,2,90,2,38,6,6,39,78.144
98,1,19,2,1,63,0,27,8,2,31,36.96
99,1,28,2,1,40,1,20,6,2,36,33.72599999999999
100,9,41,2,1,83,0,31,7,4,32,73.887
101,2,27,0,1,55,0,35,6,2,27,33.726
102,6,24,1,3,74,0,43,7,5,36,59.895
103,6,37,1,1,67,2,19,5,6,25,72.138
104,8,31,3,0,66,0,39,3,4,21,63.06300000000001
105,6,32,3,2,64,2,23,4,3,32,68.211
106,2,32,1,1,65,2,38,6,8,31,61.842000000000006
107,4,46,1,2,81,2,35,7,8,21,84.183
108,4,50,0,1,70,2,28,4,5,28,69.43199999999999
109,4,18,0,1,38,1,50,5,6,32,33.99
110,1,26,2,0,41,1,27,6,4,27,35.937
111,3,27,1,3,47,0,54,8,6,25,45.242999999999995
112,4,25,2,1,41,0,20,8,3,37,35.672999999999995
113,1,22,0,0,41,1,37,9,1,23,19.305
114,5,28,3,3,77,1,15,6,5,29,76.59299999999999
115,6,36,2,1,61,4,27,6,3,35,66.09899999999999
116,1,24,1,1,42,2,48,5,3,28,33.528
117,4,37,3,3,77,1,36,6,7,25,80.883
118,1,24,0,0,60,0,54,3,6,21,39.765
119,6,25,1,0,56,2,20,7,3,27,49.69799999999999
120,4,42,0,4,69,3,33,7,7,24,80.124
121,5,42,2,2,62,0,35,6,8,31,69.762
122,3,25,0,2,56,0,35,6,2,25,38.445
123,3,30,2,1,67,1,17,7,7,31,63.78899999999998
124,4,38,1,0,75,2,40,7,5,29,62.23800000000001
125,3,29,1,0,57,0,52,9,0,27,27.488999999999987
126,4,31,0,2,43,1,21,5,1,34,37.785
127,3,20,0,1,50,0,20,9,0,22,26.927999999999997
128,4,37,2,0,45,0,47,4,0,28,33.16499999999999
129,0,32,2,2,48,0,34,7,1,28,34.319999999999986
130,5,23,2,2,74,0,38,4,8,32,68.145
131,1,24,2,2,47,2,53,9,6,21,46.69499999999999
132,5,33,3,3,53,3,42,6,5,35,66.957
133,3,32,2,1,53,1,22,7,0,16,44.18699999999999
134,4,26,6,1,63,1,38,7,7,32,68.607
135,2,26,0,1,52,2,27,7,5,22,46.497
136,5,38,4,2,59,3,39,5,8,34,80.058
137,5,23,1,0,53,1,31,5,3,24,42.93299999999999
138,3,32,2,2,73,2,19,6,5,31,69.267
139,5,26,3,0,55,1,29,6,7,37,56.397
140,3,22,0,0,40,0,32,6,5,33,28.874999999999993
141,3,41,3,3,73,1,38,9,8,21,79.893
142,0,26,1,2,59,0,41,6,0,22,33.132
143,3,25,1,0,40,1,37,9,2,32,26.268
144,2,33,0,0,42,1,39,10,4,27,31.184999999999995
145,6,26,5,0,89,1,38,9,8,21,82.69799999999998
146,2,33,1,0,49,0,34,3,0,26,30.755999999999993
147,5,42,0,0,62,2,31,7,7,27,63.09599999999999
148,3,33,2,3,60,0,31,4,1,14,54.31799999999999
149,5,21,1,1,38,1,31,8,2,22,33.792
150,7,33,3,2,81,2,41,6,6,29,82.038
151,6,28,0,0,49,1,44,8,6,30,43.527
152,2,28,2,2,48,0,23,11,0,24,33.693
153,3,34,3,0,88,0,17,6,5,28,69.33299999999998
154,5,28,0,2,41,0,43,8,3,17,37.125
155,3,23,0,1,61,0,42,7,4,25,39.897
156,3,19,0,1,51,1,42,3,5,20,42.306
157,4,38,3,3,61,1,44,8,3,33,59.66399999999998
158,8,29,3,1,71,1,40,7,6,29,70.58699999999999
159,5,40,1,3,60,1,20,6,5,30,66.98999999999998
160,4,35,4,1,79,2,18,5,4,19,78.77100000000002
161,4,25,2,1,53,0,40,6,4,31,43.329
162,7,32,2,1,75,1,37,4,6,28,72.26999999999998
163,4,26,2,0,59,0,21,3,1,28,42.63599999999999
164,2,24,0,0,45,0,32,3,0,29,21.912000000000003
165,6,25,2,0,36,1,43,5,5,25,42.074999999999996
166,2,23,1,0,48,1,48,6,2,24,29.732999999999997
167,4,38,2,2,64,2,29,4,5,29,69.16799999999999
168,5,26,3,3,80,1,28,6,7,24,80.85
169,2,36,1,0,56,1,47,6,0,25,34.583999999999996
170,2,33,0,1,73,2,37,9,8,40,59.696999999999996
171,4,23,1,0,45,0,29,7,5,21,38.675999999999995
172,4,33,0,0,68,0,43,8,6,27,49.664999999999985
173,3,56,2,0,64,2,40,4,6,32,69.10199999999999
174,6,40,0,0,65,0,22,7,7,34,59.300999999999995
175,6,31,4,3,71,2,20,3,4,38,78.93599999999999
176,0,30,1,2,45,0,43,7,5,28,37.09199999999999
177,6,34,0,1,56,0,37,7,5,26,49.99499999999999
178,5,34,2,0,67,2,23,6,6,30,66.396
179,3,16,1,2,55,2,49,6,0,25,35.739000000000004
180,7,35,3,0,66,2,22,4,5,32,70.98299999999999
181,4,37,0,2,52,0,36,7,1,25,40.12799999999999
182,2,33,1,0,32,1,36,7,0,36,20.030999999999995
183,2,26,3,0,40,0,42,5,1,33,26.631
184,1,21,1,0,46,1,43,9,1,31,21.153
185,4,33,5,3,54,2,21,7,8,38,77.154
186,7,42,4,0,75,0,29,5,7,27,79.101
187,3,33,1,2,71,3,23,2,3,42,63.85499999999999
188,4,27,1,3,54,0,36,10,2,30,41.61299999999999
189,6,40,3,1,62,1,26,7,7,42,69.16799999999998
190,4,23,0,0,52,0,23,7,5,15,41.87699999999999
191,6,25,1,1,54,1,27,5,6,27,55.80299999999998
192,5,31,1,3,66,1,28,4,4,27,64.482
193,5,28,1,1,54,0,48,8,3,21,41.481
194,4,26,3,1,61,2,32,5,6,32,62.66699999999998
195,1,21,1,0,52,0,38,6,2,17,29.502000000000002
196,5,28,0,1,52,0,20,6,5,35,45.177
197,2,37,3,0,67,2,25,7,6,35,63.227999999999994
198,4,34,3,3,74,1,24,4,4,36,71.93999999999998
199,5,28,4,1,73,2,34,7,7,40,72.567
200,5,31,0,1,79,1,43,7,3,28,55.34100000000001
201,3,28,3,0,64,0,30,8,1,25,42.867
202,6,45,1,3,87,1,18,7,4,35,80.355
203,5,30,0,2,66,1,37,8,6,26,59.169
204,3,32,1,2,67,0,44,9,7,29,56.69399999999998
205,1,39,2,4,60,1,23,5,6,32,67.58399999999999
206,2,23,3,1,92,0,44,8,3,32,56.59499999999999
207,3,30,0,0,51,1,48,7,6,18,43.196999999999996
208,3,28,1,0,54,1,48,9,3,31,35.21099999999999
209,4,25,2,1,50,0,38,9,2,25,36.959999999999994
210,3,29,2,1,54,2,22,6,5,28,55.80299999999998
211,3,28,2,1,50,1,33,9,0,27,35.30999999999999
212,6,41,3,2,73,1,21,3,9,34,87.945
213,6,36,1,0,75,0,27,6,6,35,62.468999999999994
214,5,33,2,1,63,3,28,8,7,28,70.55399999999999
215,6,34,3,2,80,1,15,7,6,25,81.90599999999999
216,6,32,0,1,63,1,20,7,7,25,63.22799999999999
217,2,32,1,0,38,2,51,6,6,31,38.742
218,3,24,2,1,55,0,44,6,2,34,36.267
219,1,27,1,1,59,0,51,8,1,32,29.27099999999999
220,6,29,2,2,74,2,32,7,3,24,67.617
221,6,37,2,0,68,3,41,7,8,38,71.94
222,4,26,0,0,38,0,34,8,4,24,29.369999999999994
223,6,34,1,1,87,1,27,5,4,26,71.61
224,7,27,0,1,74,2,38,6,3,28,58.905
225,3,29,3,0,81,1,37,3,5,31,64.67999999999998
226,5,22,1,1,54,1,53,10,1,28,33.49499999999999
227,3,20,1,1,49,2,25,8,0,31,32.769
228,3,24,2,2,49,2,23,6,5,26,54.45000000000001
229,6,41,3,0,72,1,20,7,8,26,78.57300000000001
230,4,30,0,1,81,1,35,7,4,35,56.26500000000001
231,4,21,0,1,46,0,32,7,6,28,38.840999999999994
232,8,32,0,1,70,0,24,7,7,19,67.749
233,3,29,2,0,54,2,52,7,1,28,37.98299999999999
234,3,22,2,0,45,0,42,8,3,25,30.888
235,5,32,1,2,76,1,41,6,7,26,70.58699999999999
236,4,47,2,1,64,1,37,4,4,25,64.383
237,1,38,3,3,82,0,16,9,4,28,69.564
238,7,34,2,1,42,1,34,7,0,23,42.602999999999994
239,6,23,1,1,58,1,28,7,0,35,39.73199999999999
240,2,26,2,2,51,2,45,8,3,21,46.233
241,5,35,2,3,63,2,37,3,4,30,68.80499999999999
242,2,42,1,1,61,2,28,6,3,27,55.176000000000016
243,8,38,2,2,69,2,31,6,2,34,68.508
244,5,41,0,2,63,3,40,6,8,29,73.09499999999998
245,5,26,4,0,74,0,41,5,6,39,61.37999999999999
246,1,36,2,3,73,2,24,6,7,30,74.67899999999999
247,3,32,0,0,56,1,51,5,1,21,35.111999999999995
248,5,40,3,0,63,2,36,5,4,29,63.756
249,5,25,0,1,46,0,42,2,5,29,41.315999999999995
250,7,44,1,0,72,1,16,7,8,49,71.57699999999998
251,4,31,2,0,77,2,42,4,8,30,71.21399999999998
252,5,30,1,2,52,0,44,6,2,25,43.065000000000005
253,1,17,1,0,46,1,48,3,1,25,23.958
254,4,42,1,2,64,1,36,6,8,33,68.80499999999999
255,5,31,3,2,78,0,19,6,7,32,75.70199999999998
256,2,38,3,1,69,3,35,9,2,30,59.53199999999998
257,2,35,1,1,55,0,26,5,1,25,40.09499999999999
258,4,22,1,2,54,2,49,3,4,24,50.919
259,2,27,1,0,57,0,44,9,0,34,24.683999999999994
260,5,35,2,2,70,3,38,5,7,31,77.484
261,7,32,1,0,75,3,19,5,3,27,68.211
262,4,31,2,4,65,3,28,4,7,23,81.741
263,0,31,2,0,60,1,35,6,3,32,41.052
264,2,20,0,0,49,0,20,10,5,26,31.778999999999996
265,2,28,2,1,54,0,46,10,5,29,40.952999999999996
266,2,27,0,0,69,0,45,4,0,17,35.04599999999999
267,2,15,1,0,50,1,47,3,0,29,23.661
268,3,29,1,1,48,0,30,8,4,18,41.61299999999999
269,0,24,0,0,42,0,49,6,3,23,20.657999999999994
270,7,34,3,0,76,0,32,5,7,27,73.02899999999998
271,2,28,5,2,81,2,32,4,5,20,79.497
272,4,42,3,1,74,1,29,5,7,25,77.41799999999999
273,7,38,1,2,86,1,22,3,8,30,87.91199999999999
274,5,35,3,0,59,2,34,5,5,28,62.50199999999999
275,3,31,1,0,45,0,40,8,6,21,40.29299999999999
276,1,27,1,1,50,1,34,8,4,24,39.369
277,1,32,2,0,51,0,26,6,7,29,47.12399999999999
278,9,42,2,0,60,1,28,7,3,18,64.35000000000001
279,2,36,2,3,76,0,39,4,6,24,69.795
280,3,31,2,2,74,0,21,5,8,34,69.96
281,2,24,1,0,45,2,39,4,3,15,38.840999999999994
282,3,37,4,2,73,1,27,3,6,33,76.22999999999999
283,1,26,1,0,51,1,26,6,1,22,32.636999999999986
284,4,27,2,0,49,1,22,3,5,17,52.701
285,4,47,2,1,73,3,44,2,3,25,72.633
286,5,32,1,3,64,3,24,4,7,35,75.60299999999998
287,1,26,2,0,37,1,37,4,5,27,35.937
288,6,45,3,5,74,0,27,5,6,18,90.55199999999999
289,2,19,1,1,47,1,42,4,6,34,39.73199999999999
290,2,14,0,0,53,1,21,6,5,22,37.553999999999995
291,0,32,3,1,83,2,37,5,8,28,74.25
292,4,30,2,0,51,2,26,8,0,32,38.97299999999999
293,4,37,5,0,70,2,19,5,7,26,79.992
294,5,38,1,3,74,3,22,4,8,22,88.77
295,6,31,2,0,50,0,52,6,2,27,39.072
296,9,46,3,1,74,1,32,7,5,33,79.101
297,7,40,4,1,68,2,36,1,7,14,88.17599999999999
298,3,27,1,1,55,0,36,6,2,23,38.775000000000006
299,6,46,1,2,81,1,24,11,2,21,69.828
300,5,27,4,0,85,1,37,4,5,28,71.77499999999999
301,3,31,3,0,64,2,31,4,7,33,64.581
302,3,29,1,2,60,2,41,8,7,24,60.19199999999999
303,4,35,0,2,48,0,48,4,5,30,45.37499999999999
304,0,22,0,0,53,1,52,7,4,19,30.29399999999999
305,4,30,2,2,43,1,23,5,5,26,53.394
306,2,24,1,0,54,3,25,6,0,24,38.247
307,4,31,1,1,59,0,48,11,1,29,35.14499999999998
308,6,16,1,1,46,0,54,8,3,17,33.957
309,6,27,1,2,51,0,21,7,6,17,57.155999999999985
310,2,16,0,0,47,0,42,6,0,21,17.688
311,3,36,3,1,62,1,38,6,5,31,59.102999999999994
312,6,27,0,4,72,1,28,5,7,37,71.67599999999999
313,1,34,2,3,71,0,16,7,6,35,64.08599999999998
314,4,26,1,0,55,0,44,10,2,26,32.373
315,3,37,2,3,63,1,16,8,6,30,68.17799999999997
316,3,44,0,0,69,2,42,3,3,33,54.31799999999999
317,4,39,2,2,74,0,26,4,7,30,73.49099999999999
318,3,41,1,0,80,1,42,8,4,23,59.46599999999999
319,0,18,1,1,55,1,54,7,6,36,35.54099999999998
320,7,26,1,1,53,4,16,8,7,32,67.28699999999999
321,3,40,2,0,73,4,25,4,6,29,75.80099999999999
322,6,32,1,2,77,1,44,2,8,27,76.956
323,5,39,5,3,63,1,40,5,6,36,76.88999999999999
324,4,23,0,1,47,1,26,9,1,17,33.824999999999996
325,4,34,0,2,66,1,33,4,3,37,53.064
326,6,39,2,1,61,1,17,5,3,31,61.70999999999998
327,3,31,2,2,70,3,17,3,6,29,75.40499999999997
328,5,40,1,2,84,3,35,7,7,33,82.63199999999999
329,3,27,3,0,69,2,27,5,5,24,62.798999999999985
330,5,33,3,0,68,0,41,6,8,24,66.19800000000001
331,3,28,2,1,46,2,34,5,4,23,48.939
332,7,41,3,1,89,3,37,7,6,32,88.737
333,1,22,1,1,46,0,45,9,0,23,20.790000000000003
334,3,35,5,2,70,2,42,7,7,37,75.768
335,1,31,3,2,69,2,36,6,7,27,68.93699999999998
336,4,22,1,1,56,0,26,9,6,20,48.37799999999999
337,4,30,2,3,72,2,24,5,6,36,73.524
338,8,30,4,1,70,0,30,7,5,31,69.06899999999999
339,3,19,0,0,34,1,40,1,3,19,28.182000000000002
340,7,44,0,1,69,2,32,6,9,32,77.649
341,4,26,0,1,66,1,44,7,5,24,50.48999999999999
342,4,26,2,1,43,0,29,7,2,31,35.343
343,9,43,4,1,72,1,19,5,5,28,84.08399999999999
344,4,37,0,2,65,2,16,9,6,25,66.03299999999999
345,3,23,1,0,46,0,49,1,3,28,31.943999999999992
346,4,33,0,1,65,3,36,4,7,31,65.24099999999999
347,1,29,2,0,41,0,24,9,0,23,24.452999999999996
348,3,30,0,0,35,1,32,3,1,31,26.004
349,2,31,3,0,44,1,52,7,0,28,29.601
350,6,18,2,1,46,2,51,7,1,25,38.08199999999999
351,3,30,0,0,57,1,49,5,4,30,39.93
352,5,37,2,0,71,1,30,6,4,37,59.301
353,2,24,3,0,45,0,24,3,6,24,46.167
354,2,27,2,1,55,0,50,7,2,27,35.870999999999995
355,2,21,1,2,43,2,29,5,5,31,44.418000000000006
356,4,32,3,0,66,1,27,3,4,27,60.45599999999999
357,5,16,1,0,51,1,44,11,2,23,30.756000000000004
358,2,22,2,2,52,0,39,6,6,26,47.157
359,1,35,0,2,68,1,43,7,7,38,54.91199999999998
360,4,20,1,2,52,0,37,7,4,27,41.778
361,4,20,0,0,52,0,29,6,2,20,32.175
362,3,28,1,0,49,1,29,6,3,16,41.315999999999995
363,5,26,3,2,43,0,49,5,6,22,51.94200000000001
364,8,27,2,1,58,2,18,4,4,27,65.07600000000001
365,4,38,4,1,73,2,41,9,4,25,69.267
366,4,30,2,0,38,1,50,7,0,25,27.884999999999994
367,6,45,1,1,75,3,39,4,3,35,70.62
368,7,29,2,3,63,1,16,4,7,45,72.83099999999997
369,5,36,1,3,64,0,17,2,3,23,64.41600000000001
370,5,46,1,1,76,1,24,8,8,20,78.804
371,2,21,2,1,48,1,53,6,1,19,32.504999999999995
372,3,39,1,0,81,1,29,6,5,29,63.49199999999999
373,5,40,0,1,65,0,19,3,8,34,66.06599999999999
374,2,20,0,0,51,0,42,11,3,20,25.245
375,4,21,0,0,64,0,44,8,4,24,38.44499999999999
376,2,25,1,0,50,1,25,8,2,20,34.980000000000004
377,0,23,1,0,50,0,42,6,3,32,25.904999999999998
378,1,39,1,0,41,0,33,7,1,24,28.016999999999992
379,2,17,2,0,31,1,22,9,3,30,24.618000000000006
380,5,22,3,4,74,3,42,7,3,41,68.93699999999998
381,9,23,1,1,57,1,45,6,5,22,56.595000000000006
382,3,27,2,1,37,1,33,8,3,24,36.72899999999999
383,6,35,0,2,65,1,26,5,3,22,60.25799999999999
384,3,40,4,0,75,2,31,3,7,23,79.49699999999999
385,1,27,2,2,56,0,41,5,9,30,55.96799999999999
386,0,25,1,0,46,1,35,8,0,18,23.892
387,7,18,1,0,42,0,31,8,2,23,31.613999999999997
388,0,29,1,0,50,1,21,4,0,22,31.613999999999994
389,9,29,2,0,63,1,40,4,4,27,60.48899999999999
390,6,31,1,2,70,3,26,9,7,33,73.65599999999999
391,5,31,3,2,57,0,16,9,5,35,58.509
392,6,34,0,1,71,2,28,9,3,35,56.82600000000001
393,3,27,1,1,35,1,41,5,1,22,29.600999999999996
394,8,27,2,0,52,0,26,6,5,22,54.021
395,4,24,2,2,64,2,28,8,4,35,56.99100000000001
396,4,32,1,2,66,2,38,4,6,36,64.152
397,4,28,2,0,61,0,39,4,2,26,43.626
398,5,19,0,1,48,1,42,6,3,32,34.749
399,3,26,1,0,43,0,38,7,2,32,26.366999999999994
400,4,37,1,4,74,2,43,7,8,31,79.167
401,3,23,0,2,46,2,43,4,2,22,39.269999999999996
402,5,28,2,1,67,1,31,4,8,26,69.36599999999999
403,5,29,1,1,75,1,29,5,7,29,67.78199999999998
404,3,14,0,1,50,2,19,7,6,27,44.484
405,2,38,1,0,72,1,41,5,4,30,53.09699999999999
406,4,28,0,1,49,0,47,8,6,27,40.425
407,6,45,2,2,71,2,20,2,5,37,79.89300000000001
408,7,31,2,1,80,0,40,7,3,33,60.786000000000016
409,8,32,4,0,67,0,39,3,5,35,65.70299999999999
410,3,31,1,1,73,2,25,6,7,36,65.703
411,0,23,1,1,56,0,54,7,2,27,28.049999999999997
412,5,22,1,0,48,0,54,9,4,24,32.934
413,4,20,1,1,53,1,30,11,4,28,40.556999999999995
414,3,35,0,2,52,0,20,5,4,23,48.971999999999994
415,0,31,0,1,51,0,43,7,0,24,24.255
416,2,25,2,0,61,2,38,6,4,27,48.212999999999994
417,4,32,2,1,75,1,44,6,6,32,63.920999999999985
418,4,31,1,0,77,0,42,7,3,27,49.79699999999998
419,2,29,2,0,53,1,52,9,5,18,43.09799999999999
420,5,31,2,2,87,1,42,0,3,29,72.10499999999998
421,4,31,3,0,72,2,26,6,7,30,70.38899999999998
422,5,25,1,1,64,0,42,7,4,13,50.952
423,1,38,0,2,65,2,15,7,5,20,61.84200000000001
424,3,27,4,5,66,2,37,4,3,35,70.65299999999999
425,1,28,0,0,56,0,33,9,2,25,28.842
426,4,30,0,1,72,2,16,8,8,34,66.726
427,3,34,3,0,80,1,29,8,6,27,67.58399999999999
428,6,40,1,4,68,3,43,5,5,36,76.98899999999999
429,5,40,3,4,65,1,20,2,7,26,85.899
430,8,44,3,2,67,0,43,5,3,34,67.78200000000001
431,1,25,2,4,62,0,18,5,8,41,62.964000000000006
432,0,29,2,1,49,1,53,3,5,25,42.966
433,2,42,1,1,62,1,31,7,7,36,58.706999999999994
434,7,27,2,2,59,0,36,2,6,27,63.920999999999985
435,5,35,1,0,65,0,32,5,4,18,54.581999999999994
436,6,41,0,0,57,2,24,6,7,18,65.73599999999999
437,7,41,6,0,62,1,25,4,3,28,72.33599999999998
438,0,36,0,0,54,0,39,4,5,22,39.56699999999999
439,0,34,2,0,45,0,42,6,0,37,22.703999999999997
440,4,22,0,0,48,0,51,8,1,24,22.868999999999993
441,5,41,1,2,65,2,29,3,6,30,72.69899999999998
442,5,28,1,1,50,1,27,6,2,29,43.09799999999999
443,3,34,1,0,61,1,29,7,9,40,57.48599999999999
444,7,23,3,1,53,1,38,6,4,22,55.44000000000001
445,3,39,4,4,65,3,29,4,4,21,82.16999999999999
446,6,37,0,0,67,1,29,5,9,39,65.604
447,6,24,0,1,48,1,45,6,2,29,36.431999999999995
448,8,32,2,2,67,2,43,3,8,25,80.883
449,2,26,2,1,32,1,48,7,7,24,39.599999999999994
450,3,37,3,1,76,2,33,5,7,19,78.30900000000001
451,6,33,1,2,72,2,32,5,9,29,79.72799999999998
452,6,35,1,2,77,2,41,5,5,29,72.33599999999998
453,5,28,2,1,70,0,37,7,5,28,57.519
454,3,34,1,0,61,1,15,8,6,29,54.746999999999986
455,5,35,4,1,69,0,42,3,4,32,63.888
456,5,31,4,2,68,2,34,4,3,22,71.24700000000001
457,6,36,2,0,54,2,21,5,4,29,59.06999999999999
458,4,25,2,1,54,0,40,9,0,21,34.913999999999994
459,7,32,0,4,66,0,42,8,7,33,66.16499999999999
460,2,29,1,2,47,0,48,5,3,25,37.52099999999999
461,8,27,1,0,69,1,21,4,5,23,64.67999999999999
462,4,25,1,0,40,1,32,6,4,22,37.65300000000001
463,4,24,2,2,40,0,34,6,5,23,44.583000000000006
464,4,32,3,1,74,2,39,9,6,36,66.95700000000001
465,7,32,0,3,79,2,36,9,8,19,81.44399999999999
466,1,32,2,1,68,1,44,8,2,32,44.946
467,4,35,2,2,67,2,15,6,3,30,65.505
468,4,31,3,1,65,1,32,6,6,29,63.854999999999976
469,4,19,1,2,52,1,41,4,1,26,38.94
470,1,35,1,1,70,0,19,5,2,30,48.18
471,5,27,1,2,52,1,36,5,4,28,50.65499999999999
472,2,26,2,0,51,0,35,6,3,22,37.09199999999999
473,4,18,1,1,52,0,37,7,3,26,35.870999999999995
474,4,28,0,1,50,0,35,4,1,27,33.989999999999995
475,7,34,3,0,95,0,38,10,7,26,78.375
476,4,22,2,1,48,0,47,6,4,25,39.798
477,0,38,2,0,62,1,15,3,6,23,59.33399999999999
478,7,42,2,2,62,1,41,7,2,21,62.831999999999994
479,2,24,2,1,47,1,32,4,5,31,44.550000000000004
480,4,32,3,1,74,1,38,3,4,35,63.723000000000006
481,2,23,1,0,53,1,43,5,5,21,41.31599999999999
482,3,26,0,1,48,2,45,4,4,30,41.019000000000005
483,3,22,0,0,51,1,51,2,0,26,26.861999999999995
484,2,31,0,0,31,0,27,4,0,24,19.304999999999996
